Verbe_FR,Present,Preterit,Participe
demeurer,abide,abode,abode
être,be,was/were,been
s'élever/survenir,arise,arose,arisen
(se) réveiller,awake,awoke,awoken
supporter,bear,bore,born
battre,beat,beat,beaten
devenir,become,became,become
commencer,begin,began,begun
(se) courber,bend,bent,bent
parier,bet,bet,bet
offrir (un prix),bid,bid,bid
lier/relier,bind,bound,bound
mordre,bite,bit,bitten
saigner,bleed,bled,bled
souffler,blow,blew,blown
casser,break,broke,broken
élever (du bétail),breed,bred,bred
apporter,bring,brought,brought
construire,build,built,built
brûler,burn,burnt,burnt
éclater,burst,burst,burst
acheter,buy,bought,bought
jeter/distribuer les roles,cast,cast,cast
attraper,catch,caught,caught
choisir,choose,chose,chosen
s'accrocher,cling,clung,clung
venir,come,came,come
coûter,cost,cost,cost
ramper,creep,crept,crept
couper,cut,cut,cut
distribuer,deal,dealt,dealt
creuser,dig,dug,dug
faire,do,did,done
dessiner,draw,drew,drawn
rêver,dream,dreamt,dreamt
boire,drink,drank,drunk
conduire,drive,drove,driven
habiter,dwell,dwelt,dwelt
manger,eat,ate,eaten
tomber,fall,fell,fallen
nourrir,feed,fed,fed
sentir/éprouver,feel,felt,felt
combattre,fight,fought,fought
trouver,find,found,found
s'enfuir,flee,fled,fled
jeter violemment,fling,flung,flung
voler,fly,flew,flown
interdire,forbid,forbade,forbidden
oublier,forget,forgot,forgotten
pardonner,forgive,forgave,forgiven
geler,freeze,froze,frozen
obtenir,get,got,got
donner,give,gave,given
aller,go,went,gone
moudre,grind,ground,ground
grandir,grow,grew,grown
pendre/accrocher,hang,hung,hung
avoir,have,had,had
entendre,hear,heard,heard
(se) cacher,hide,hid,hidden
frapper/atteindre,hit,hit,hit
tenir,hold,held,held
blesser,hurt,hurt,hurt
garder,keep,kept,kept
s'agenouiller,kneel,knelt,knelt
savoir/connaître,know,knew,known
poser (à plat),lay,laid,laid
mener,lead,led,led
s'appuyer,lean,leant,leant
sauter,leap,leapt,leapt
apprendre,learn,learnt,learnt
laisser/quitter,leave,left,left
prêter,lend,lent,lent
permettre/louer,let,let,let
être étendu,lie,lay,lain
allumer,light,lit,lit
perdre,lose,lost,lost
faire/fabriquer,make,made,made
signifier,mean,meant,meant
(se) rencontrer,meet,met,met
payer,pay,paid,paid
mettre,put,put,put
cesser,quit,quit,quit
lire,read,read,read
débarrasser,rid,rid,rid
chevaucher,ride,rode,ridden
sonner,ring,rang,rung
s'élever/se lever,rise,rose,risen
courir,run,ran,run
scier,saw,sawed,sawn
dire,say,said,said
voir,see,saw,seen
chercher,seek,sought,sought
vendre,sell,sold,sold
envoyer,send,sent,sent
fixer,set,set,set
coudre,sew,sewed,'sewn
secouer,shake,shook,shaken
tondre (des moutons),shear,sheared,shorn
verser (des larmes),shed,shed,shed
briller,shine,shone,shone
ferrer/chausser,shoe,shod,shod
tirer,shoot,shot,shot
montrer,show,showed,shown
rétrécir,shrink,shrank,shrunk
fermer,shut,shut,shut
chanter,sing,sang,sung
couler,sink,sank,sunk
être assis,sit,sat,sat
dormir,sleep,slept,slept
glisser,slide,slid,slid
lancer (avec force),sling,slung,slung
aller furtivement,slink,slunk,slunk
fendre/inciser,slit,slit,slit
sentir (odorat),smell,smelt,smelt
semer,sow,sowed,sown
parler,speak,spoke,spoken
aller à toute vitesse,speed,sped,sped
épeler,spell,spelt,spelt
dépenser,spend,spent,spent
renverser (un liquide),spill,spilt,spilt
cracher,spit,spat,spat
fendre,split,split,split
gâcher/gâter,spoil,spoilt,spoilt
répandre,spread,spread,spread
jaillir/bondir,spring,sprang,sprung
être debout,stand,stood,stood
voler/dérober,steal,stole,stolen
coller,stick,stuck,stuck
piquer,sting,stung,stung
puer,stink,stank,stunk
marcher à grands pas,stride,strode,stridden
frapper,strike,struck,struck
enfiler/tendre (une corde),string,strung,strung
s'efforcer,strive,strove,striven
jurer,swear,swore,sworn
balayer,sweep,swept,swept
enfler,swell,swelled,swollen
nager,swim,swam,swum
se balancer,swing,swung,swung
prendre,take,took,taken
enseigner,teach,taught,taught
déchirer,tear,tore,torn
dire/raconter,tell,told,told
penser,think,thought,thought
jeter,throw,threw,thrown
enfoncer,thrust,thrust,thrust
fouler aux pieds,tread,trod,trodden
comprendre,understand,understood,understood
(se) réveiller,wake,woke,woken
porter (des vêtements),wear,wore,worn
tisser,weave,wove,woven
pleurer,weep,wept,wept
gagner,win,won,won
enrouler,wind,wound,wound
tordre,wring,wrung,wrung
écrire,write,wrote,written
