Traduction,Infinitif,Prétérit,Parfait
apporter,bringen,brachte,hat gebracht
penser,denken,dachte,hat gedacht
manger,essen,ass,hat gegessen
trouver,finden,fand,hat gefunden
aller(voiture),fahren,fuhr,ist gefahren
donner,geben,gab,hat gegeben
aller(pieds),gehen,ging,ist gegangen
aider,helfen,half,hat geholfen
connaitre,kennen,kannte hat gekannt
venir,kommen,kam,ist gekommen
lire,lesen,las,hat gelesen
prendre,nehmen,nahm,hat genommen
courrir,rennen,rannte,ist gerannt
voir,sehen,sah,hat gesehen
etre,sein,war,ist gewesen
dormir,schlafen,schlief,hat geschlafen
fermer/conclure,schloss,hat geschlossen
écrire,schrieben,schrieb,hat geschrieben
parler,sprachen,sprach,hat gesprochen
etre debout,stehen,stand,hat gestanden
mourir,sterben,starb,ist gestorben
rencontrer,treffen,traf,hat getroffen
boire,trinken,trank,hat getrunken
devenir,werden,wurde,ist geworden
comprendre,verstehen,verstand,hat verstanden
savoir,wissen,wusste,hat gewusst
